metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_leaf_phenylethylamine,25.08549772808814,-5.783111915167433,-5.176396115900701,-1.1125601626540833,0.13068488221615895,0.09873219750896826,0.8342113923875405,2.0421361453977474e-16,-0.12070907064484286,0.4831376902758904,leaf,0.9281005133196085,0.17731496695488178,0.9837950697005402,0.8330172735200195,FALSE
met_per_mg_leaf_phenylalanine,1507.5089197430382,73.81369464927158,-712.9190366864107,-241.96162309501835,0.741168973292452,4.129899544533123e-4,0.4456117163412511,8.361430765229506e-17,-0.3696992138669889,0.02647323995369027,leaf,0.9281005133196085,0.002422874399459432,0.7541121353467326,0.22875438327663908,FALSE
met_per_mg_leaf_phenol,19.740675657899544,-3.762286213048839,-3.0624231044899553,-1.4458665153863677,0.352462879068865,0.3539292577601698,0.7992767743711048,2.2039027509317055e-16,0.13095504367453487,0.4464851836614596,leaf,0.9281005133196085,0.4481026175626109,0.963511728009003,0.8054252574234587,FALSE
met_per_mg_leaf_pentitol,12.337648064413775,-3.4048393140815687,16.838588203224838,-1.7475895295221122,0.36150626700171395,3.393952093834292e-6,0.7390748759858097,5.3494643460195285e-17,-0.29251285546906797,0.08341063492394646,leaf,0.9281005133196085,7.692119014923107e-5,0.9358070372194424,0.3414016685259204,FALSE
met_per_mg_leaf_pelargonic acid,54.02946481380503,-6.864053462734408,-12.973384412696952,0.2992741252201357,0.5050508466661956,0.12846345169434178,0.9835467397816001,1.5320986770855735e-16,-0.04866743938589997,0.7780460449976114,leaf,0.9281005133196085,0.21130436914209488,0.9948518747216186,0.9000220854524918,FALSE
met_per_mg_leaf_palmitic acid,676.2210453162064,-113.44638516457564,-129.1123264949363,-3.322180750583127,0.29746038557425697,0.14963146484670561,0.9826384883664349,1.6218930584338224e-16,0.04285338089922864,0.8040106482498355,leaf,0.9281005133196085,0.227027050112243,0.9948518747216186,0.9000220854524918,FALSE
met_per_mg_leaf_oxoproline,14599.09721897671,-939.3890090808736,-7198.119633992549,-923.691311231729,0.6068839823556738,2.842406652966685e-5,0.7202441981871774,1.2576356653403215e-16,-0.23400137530908852,0.16956068596872345,leaf,0.9281005133196085,3.573311220872404e-4,0.9320807270657591,0.5145289781119884,FALSE
met_per_mg_leaf_ornithine,486.7581563506631,161.68732883765517,186.708588027296,-211.8061420816126,0.17666900170546834,0.059495122413695874,0.20983287698510233,1.103810173761331e-16,0.19598679504268718,0.2519719629816868,leaf,0.9281005133196085,0.13172526288161784,0.5977085734955636,0.652162727717307,FALSE
met_per_mg_leaf_oleic acid,9.040507746860513,-1.4745621352148461,-0.7704785558274816,-0.8340866318700594,0.4941451410078427,0.6610193035189156,0.7838334288542812,1.8064288259091465e-16,0.20797215759669843,0.2235444062422902,leaf,0.9281005133196085,0.750576757544059,0.9617429947729855,0.6052894692098935,FALSE
met_per_mg_leaf_octanol NIST,24.34510440879247,-2.4411575929885836,-1.6425579217839918,-4.879710811993645,0.560437029319143,0.6310946252149021,0.4118040699620572,1.5641738812146163e-16,0.053640437123052255,0.7560226144009556,leaf,0.9281005133196085,0.725965059070737,0.7475641764156707,0.9000220854524918,FALSE
met_per_mg_leaf_octadecanol,9.177596774228554,-1.32918743198396,-0.3908693182559315,-0.8575340241436267,0.38024274627857424,0.7507122944822051,0.6875195378542687,1.6133500929690581e-16,0.013558691351452363,0.9374425923309085,leaf,0.9281005133196085,0.8026424053149774,0.9280179199389117,0.9739796681941767,FALSE
met_per_mg_leaf_nicotinamide,56.379364722017776,1.1667934233405153,21.0740523980326,-27.402418935584674,0.9307294027402827,0.061478004491415245,0.15541796373410227,1.6399605980189062e-16,-0.3643116042217603,0.0289317826013929,leaf,0.9941416445800659,0.13307753168949635,0.5977085734955636,0.22875438327663908,FALSE
met_per_mg_leaf_N-acetylornithine,14.698947892059342,-0.2255586885511215,7.692252412460903,-8.165891917009763,0.965472986456817,0.07778439299396288,0.27238783115638576,1.5872770478489805e-16,-0.016373951807937544,0.9244873948629504,leaf,0.9941416445800659,0.14658870889643338,0.6100792485454674,0.9729579074930695,FALSE
met_per_mg_leaf_N-acetylmannosamine,387.15223503375074,25.82747911182499,146.98731780097262,-50.9350650200766,0.7426949707188936,0.027608060524414803,0.6473625317319514,1.9763243751422393e-16,0.17980579828815502,0.294020178687244,leaf,0.9281005133196085,0.07381083056975327,0.9006055937722675,0.7151720667632413,FALSE
met_per_mg_leaf_n-acetyl-d-hexosamine,470.95888159295015,156.12403640105134,305.8234026531613,-284.1226769774288,0.23869255445664483,0.007029388748329384,0.13216600991281807,1.541812910515606e-16,0.3089860782493008,0.0667062301488628,leaf,0.9281005133196085,0.02689505260230373,0.5833595832619678,0.3197559327588092,FALSE
met_per_mg_leaf_myristic acid,17.388438765963386,-1.9920336295652914,-2.6474394868847124,1.6151114561372188,0.4893227797709313,0.2633634762262299,0.6910820599389226,1.2172463649438772e-16,-0.0816552212222579,0.6359044793020139,leaf,0.9281005133196085,0.3511513016349732,0.9280179199389117,0.8953535068572355,FALSE
met_per_mg_leaf_myo-inositol,4204.8556513236845,1593.8013881789152,17102.215800490183,-7718.814461236461,0.6079214293531778,1.0655352976211722e-7,0.08551175591376466,1.6668786192704004e-16,-0.0786303944129931,0.6485055729387483,leaf,0.9281005133196085,5.018317242710633e-6,0.5833595832619678,0.898716384545037,FALSE
met_per_mg_leaf_mucic acid,9.532498145315142,0.2915850761690326,25.025519143351524,-9.085912087260052,0.9296868980117448,1.1476478756252976e-10,0.058801951802639384,1.5855653465982914e-16,-0.012834941698173017,0.9407758158693751,leaf,0.9941416445800659,2.0198602611005238e-8,0.5833595832619678,0.9739796681941767,FALSE
met_per_mg_leaf_methyl O-D-galactopyranoside,561.6713699832591,295.36530361867,-115.55292810707958,-444.5888431293935,0.2535250799660345,0.5813143190557768,0.22487512998741696,1.4969673613211563e-16,0.2874993511921859,0.08908866906196787,leaf,0.9281005133196085,0.6820754676921115,0.5977085734955636,0.3426161930830524,FALSE
met_per_mg_leaf_methionine sulfoxide,48.069285246052,13.076295517108896,4.40142947998419,-22.18564411249966,0.26134179186397516,0.6405723691088361,0.17967577687784092,1.3057793422037041e-16,-0.2632539542149041,0.1208329878077966,leaf,0.9281005133196085,0.7320827075529555,0.5977085734955636,0.42644627950757774,FALSE
met_per_mg_leaf_methionine,239.89017273467184,16.97506451511171,-103.55838556268668,-44.43003569803529,0.7100283982229838,0.008529538906155222,0.4925031879653048,1.5619319439055338e-16,-0.33043761060122834,0.04902903617256467,leaf,0.9281005133196085,0.03002397694966638,0.7952345053384738,0.275936601520833,FALSE
