name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,value
leaf.voom5.module_darkseagreen4,plusMg_Niu_2016_shoot_FC_up,2.171047825846227e-19,1,28,2479,6.4045910862463696e-18,NA
leaf.voom5.module_darkseagreen4,minusPi_1d_Liu_2016_shoot_FC_up,1.1946514049641485e-17,1,24,1811,2.3494810964294923e-16,NA
leaf.voom5.module_darkseagreen4,coldKilian_2013_root_FC_up,6.051050495955749e-12,1,17,1434,8.92529948153473e-11,NA
leaf.voom5.module_darkseagreen4,minusMg_Niu_2016_shoot_FC_up,1.3437896206113083e-9,0.9999999998300266,25,4969,1.585671752321344e-8,NA
leaf.voom5.module_darkseagreen4,coldKilian_2013_shoot_FC_up,1.8132748776851066e-8,0.9999999976762517,16,2108,1.7830536297236883e-7,NA
leaf.voom5.module_darkseagreen4,minusK_Nishida_2017_root_FC_up,2.0569589676355995e-7,0.9999999768272047,12,1291,1.7337225584357196e-6,NA
leaf.voom5.module_darkseagreen4,plusMg_Niu_2016_root_FC_down,4.3650879025667016e-4,0.9999456932959031,6,745,0.0032192523281429426,NA
leaf.voom5.module_darkseagreen4,plusIAA_Nemhauser_2006_seedlings_FC_up,5.089202691958822e-4,0.9999819302190824,3,115,0.0033362550980618943,NA
leaf.voom5.module_darkseagreen4,minusN_Peng_2007_whole_FC_up,0.003960808614071573,0.9995340686406512,4,483,0.02336877082302228,NA
leaf.voom5.module_darkseagreen4,minusPi_3d_Liu_2016_root_FC_up,0.005257834235836643,0.9986292825520954,8,2006,0.02820111090130563,NA
leaf.voom5.module_darkseagreen4,heat_Kilian_2013_shoot_FC_down,0.006116773627763185,0.9983639587335243,8,1900,0.030074137003168994,NA
leaf.voom5.module_darkslateblue,minusMg_Niu_2016_shoot_FC_up,1.1108993166120275e-4,0.9999612133986804,24,4969,0.006554305968010963,NA
leaf.voom5.module_darkslateblue,plusMg_Niu_2016_shoot_FC_up,3.978371778900028e-4,0.9998808924712388,15,2479,0.011736196747755083,NA
leaf.voom5.module_darkturquoise,NA,NA,NA,NA,NA,NA,no enriched GO
