transcript_ID,wyo_leaf_R500_10_417_S65,wyo_leaf_R500_10_419_S66,wyo_leaf_R500_12_505_S68,wyo_leaf_R500_12_509_S67,wyo_leaf_R500_2_50_S9,wyo_leaf_R500_2_73_S10,wyo_leaf_R500_4_137_S11,wyo_leaf_R500_4_172_S12,wyo_leaf_R500_5_193_S13,wyo_leaf_R500_5_210_S14,wyo_leaf_R500_7_281_S15,wyo_leaf_R500_7_297_S16
BraA05g011580.3C,1.7137902693417735,2.699818026814197,2.8737339557487096,3.843001749334083,3.0764682566798656,2.8722713076609296,2.5033666754982207,2.081300601410194,4.12453464337414,3.640952112534819,1.8376357075253507,2.729504886732722
BraA05g011670.3C,3.067427223956474,4.0386199402659555,3.904760851369334,3.043300399819914,4.044759396952528,3.856368083252558,5.1024043614311,4.8238043791178296,5.049552735870189,3.50008957669497,3.796993723028005,3.247422390155186
BraA05g011680.3C,3.889951314889535,3.0046726083426183,1.8096036183289939,3.0052951744296834,3.0764682566798656,3.5338865933459727,2.8919510577827023,3.0247170730438264,2.655976671414972,3.4241407234616714,4.084088387396088,2.51045679598898
BraA05g011690.3C,1.3512201899570653,1.78228018700617,1.520097001134009,2.375875738906785,2.640369141873192,1.1569038496172313,8.871367503253154e-4,1.840292501906399,0.5259907798131757,2.4944646922594167,0.2526732068041944,1.9248045221693717
BraA05g011730.3C,3.970130022601559,4.841173876059739,4.857966639890393,4.592193645833548,4.225331642594348,4.809573871773617,4.719684582424985,3.510143900214068,4.803975527112941,3.8871126998042174,5.007560708967663,4.384925913905121
BraA05g011750.3C,2.9361826906782214,2.3127949037049498,2.257062595300215,-0.12662460162239855,0.8748343955102151,1.1091341536325248,0.7378319291352438,1.840292501906399,2.958950187089282,1.3846123592750341,1.8376357075253507,2.304005918521554
BraA05g011810.3C,-1.4561347321005387,-1.3876448144361422,1.157526921749301,2.1953034932649635,1.360261222680457,1.761210850212218,1.8753354528851787,-1.6191391167308984,1.0114176069834178,-1.7853126421672783,0.2526732068041944,1.4109211224380656
BraA05g011820.3C,3.067427223956474,2.699818026814197,3.39456611905015,3.043300399819914,2.459796896231371,2.549706745018506,1.2232587563054855,2.081300601410194,-0.21097481435303053,1.3846123592750341,2.915638219526624,1.773491201822774
BraA05g011840.3C,3.8292674867617094,4.543092523126744,4.616958540386598,4.3107807106849,4.280826755186052,4.1844222809367615,4.088329176219377,4.446950073726874,3.7586515366034505,4.624078293970423,4.50060072024778,4.534303537943348
BraA05g011860.3C,1.7137902693417735,2.071786804201155,1.520097001134009,1.4583378990987577,0.8748343955102151,2.38924207282526,2.5033666754982207,2.468323724519441,2.291525526176153,1.9151270759738137,0.9896388009704006,2.851493713824047
BraA05g011870.3C,0.12882776862061743,0.19731768628501398,0.6721000945790588,0.6103409925438077,0.8748343955102151,0.6237073264622831,8.663349690377168e-4,1.550785884711414,0.5259907798131757,-0.20035014144612234,0.9896388009704006,-1.3964337996195384
BraA05g011930.3C,3.067427223956474,3.1359171416208707,4.327451923191613,3.960838239627941,3.979171055324951,3.5112325972038705,3.6253571998768312,3.7384128878871854,4.036952699090555,4.443506048328603,3.311566895857763,3.4615471955080337
BraA05g012020.3C,2.0032968865367584,2.699818026814197,1.520097001134009,2.8119748537134583,2.01233791926015,2.38924207282526,1.8753354528851787,2.2877514788776203,2.847918874700538,2.302150199083061,2.1271423247203356,2.304005918521554
BraA05g012030.3C,-1.4561347321005387,-1.3876448144361422,1.520097001134009,1.4583378990987577,-1.4470936993771473,1.471704233017233,0.7378319291352438,2.2877514788776203,1.2040626849258134,1.0220422798903257,0.6677107060830382,0.9254942952678239
BraA05g012040.3C,0.8657933627868234,2.3127949037049498,3.7077240043097803,3.78026599398612,2.459796896231371,2.8253411876319334,3.6253571998768312,3.7384128878871854,3.4894649037880616,2.7382493138897344,2.574601301691557,3.647960319738915
BraA05g012120.3C,4.847646016076564,5.888479590838095,5.5300810897066315,5.564537302930683,5.211117783374648,5.4413305839737145,5.899719611512138,5.5407322200474916,5.621915199811712,5.976238590277201,5.462126572433144,5.8227347208426234
BraA05g012150.3C,5.019598698865859,5.457845236508233,4.759562935829399,5.407353970379953,5.321090625399779,5.016024749241043,5.045260454327491,4.489385340047271,4.432881375421694,4.90118788501594,5.610225211422278,5.522429437655056
BraA05g012240.3C,2.6313281091498006,3.3672426877273263,3.39456611905015,1.9888526157975375,2.253346018763945,3.1597602267024927,1.8753354528851787,2.2877514788776203,4.270151875383585,2.858543547607446,3.060028128861799,3.247422390155186
BraA05g012260.3C,2.0032968865367584,0.93428328045122,2.598099513135282,2.536340411100031,2.640369141873192,2.38924207282526,2.3227944298564003,1.1882158053267056,1.3739876863681255,1.6741189764700188,2.755173547333378,2.0629978190177587
BraA05g012280.3C,1.7137902693417735,1.419710107621462,1.8096036183289939,-1.7115871023435545,1.722831302065165,0.6237073264622831,1.2232587563054855,0.7027889781564641,1.6634943035631107,1.3846123592750341,2.1271423247203356,1.773491201822774
