genes,trt,mean.value,root.voom5.module,query_id
BraA02g034550.3C,live,0.021449688445868476,paleturquoise,MONOMER4K-545
BraA02g038060.3C,dead,-0.06773771535701376,midnightblue,BRARA.B03324-MONOMER
BraA02g038060.3C,live,0.06773771535701381,midnightblue,BRARA.B03324-MONOMER
BraA02g038280.3C,dead,0.2747468114156632,plum1,BRARA.B03336-MONOMER
BraA02g038280.3C,live,-0.2747468114156631,plum1,BRARA.B03336-MONOMER
BraA02g039910.3C,dead,-0.024294408269628715,midnightblue,BRARA.B03463-MONOMER
BraA02g039910.3C,live,0.0242944082696288,midnightblue,BRARA.B03463-MONOMER
BraA02g041980.3C,dead,-0.013133403957999515,midnightblue,BRARA.B03668-MONOMER
BraA02g041980.3C,live,0.013133403957999546,midnightblue,BRARA.B03668-MONOMER
BraA02g042610.3C,dead,-0.06648771590901409,paleturquoise,BRARA.B03727-MONOMER
BraA02g042610.3C,live,0.06648771590901408,paleturquoise,BRARA.B03727-MONOMER
BraA02g044050.3C,dead,-0.01859433769721748,red,BRARA.B03850-MONOMER
BraA02g044050.3C,live,0.018594337697217512,red,BRARA.B03850-MONOMER
BraA02g045040.3C,dead,-0.006261817612251364,red,BRARA.B03939-MONOMER
BraA02g045040.3C,live,0.006261817612251344,red,BRARA.B03939-MONOMER
BraA03g000310.3C,dead,0.006515287408629645,midnightblue,BRARA.C00006-MONOMER
BraA03g000310.3C,live,-0.0065152874086296855,midnightblue,BRARA.C00006-MONOMER
BraA03g001840.3C,dead,0.22631175363271275,yellowgreen,BRARA.C00189-MONOMER
BraA03g001840.3C,live,-0.22631175363271275,yellowgreen,BRARA.C00189-MONOMER
BraA03g002070.3C,dead,0.16895827736003652,midnightblue,BRARA.C00209-MONOMER
BraA03g002070.3C,live,-0.16895827736003652,midnightblue,BRARA.C00209-MONOMER
BraA03g003910.3C,dead,-0.09736974331889733,paleturquoise,BRARA.H01255-MONOMER
BraA03g003910.3C,live,0.0973697433188973,paleturquoise,BRARA.H01255-MONOMER
BraA03g005070.3C,dead,-0.1489892957316884,lightyellow,BRARA.C00494-MONOMER
BraA03g005070.3C,live,0.14898929573168848,lightyellow,BRARA.C00494-MONOMER
BraA03g005720.3C,dead,0.05068089383051459,red,BRARA.C00562-MONOMER
BraA03g005720.3C,live,-0.0506808938305146,red,BRARA.C00562-MONOMER
BraA03g008090.3C,dead,-0.08901300749255509,red,BRARA.C00776-MONOMER
BraA03g008090.3C,live,0.08901300749255515,red,BRARA.C00776-MONOMER
BraA03g010620.3C,dead,0.007879283577729199,red,BRARA.C01027-MONOMER
BraA03g010620.3C,live,-0.00787928357772919,red,BRARA.C01027-MONOMER
BraA03g013010.3C,dead,-0.043669257311403684,red,BRARA.C01255-MONOMER
BraA03g013010.3C,live,0.043669257311403684,red,BRARA.C01255-MONOMER
BraA03g013160.3C,dead,-0.05546701480668575,paleturquoise,BRARA.C01275-MONOMER
BraA03g013160.3C,live,0.055467014806685734,paleturquoise,BRARA.C01275-MONOMER
BraA03g013260.3C,dead,-0.026355985299773805,red,BRARA.C01390-MONOMER
BraA03g013260.3C,live,0.02635598529977377,red,BRARA.C01390-MONOMER
BraA03g014810.3C,dead,0.0969423836294816,midnightblue,BRARA.C01419-MONOMER
BraA03g014810.3C,live,-0.09694238362948165,midnightblue,BRARA.C01419-MONOMER
BraA03g019350.3C,dead,0.007773582432135161,red,BRARA.C01860-MONOMER
BraA03g019350.3C,live,-0.00777358243213514,red,BRARA.C01860-MONOMER
BraA03g020240.3C,dead,0.03750850484325887,lightyellow,BRARA.C01952-MONOMER
BraA03g020240.3C,live,-0.03750850484325891,lightyellow,BRARA.C01952-MONOMER
BraA03g022520.3C,dead,-0.05842652539860391,paleturquoise,BRARA.C02180-MONOMER
BraA03g022520.3C,live,0.05842652539860384,paleturquoise,BRARA.C02180-MONOMER
BraA03g022870.3C,dead,0.04842608889979713,red,BRARA.C02212-MONOMER
BraA03g022870.3C,live,-0.048426088899797146,red,BRARA.C02212-MONOMER
BraA03g024560.3C,dead,0.106871753221346,midnightblue,BRARA.C02373-MONOMER
BraA03g024560.3C,live,-0.10687175322134602,midnightblue,BRARA.C02373-MONOMER
BraA03g025060.3C,dead,0.3801704777960571,yellowgreen,BRARA.C02422-MONOMER
BraA03g025060.3C,live,-0.3801704777960571,yellowgreen,BRARA.C02422-MONOMER
BraA03g028260.3C,dead,-0.07955548493269388,red,BRARA.C02736-MONOMER
