ID	PC	value
Brara.C01255		-0.08598210504631865
Brara.C01275		-0.22072565664552488
Brara.C01390		-0.004298415641477905
Brara.C01419		0.10920691655240228
Brara.C01860		-0.002004194805964996
Brara.C01952		0.24305216894352683
Brara.C02180		-0.2958707260346022
Brara.C02212		0.22499265494173357
Brara.C02373		0.11684027812041727
Brara.C02422		0.6575827291549712
Brara.C02736		-0.28180287721035535
Brara.C02825		0.7342701934913715
Brara.C02928		-0.06958141554923337
Brara.K01603		0.04257522257786621
Brara.C03007		0.10870689976468348
Brara.C03029		-0.13858450649469467
Brara.C03578		0.7765699064226348
Brara.C03704		0.09713751254646584
Brara.C03824		0.09350127026986635
Brara.C03894		0.4841129409541644
Brara.C03916		-0.09636285992428166
Brara.C03939		0.006776180127865518
