sampleID,fullname,exp,pot,soil,tissue,genotype,autoclave,leaf_avg,group,leaf_avg_std,leaf_avg_resid
wyo_leaf_R500_05_213,wyo_leaf_R500_05_213,exp1,213,5E,leaf,R500,live,4.5161973838,exp1_R500,1.0718327787944022,0.5804058605111112
wyo_leaf_FPsc_05_218,wyo_leaf_FPsc_05_218,exp1,218,5E,leaf,FPsc,live,3.6849348937,exp1_FPsc,1.9114007346697177,0.7928573344500001
wyo_leaf_R500_07_266,wyo_leaf_R500_07_266,exp1,266,5E,leaf,R500,live,4.9446654427,exp1_R500,1.863082732388968,1.0088739194111114
wyo_leaf_R500_07_269,wyo_leaf_R500_07_269,exp1,269,5E,leaf,R500,dead,4.0828640505,exp1_R500,0.2715981457978103,0.14707252721111094
wyo_leaf_FPsc_07_272,wyo_leaf_FPsc_07_272,exp1,272,5E,leaf,FPsc,dead,2.9161973838,exp1_FPsc,0.05814747289555683,0.024119824550000328
wyo_leaf_R500_07_278,wyo_leaf_R500_07_278,exp1,278,BLANK,leaf,R500,"NA",3.418268227,exp1_R500,-0.9557078425494971,-0.5175232962888886
wyo_leaf_FPsc_07_292,wyo_leaf_FPsc_07_292,exp1,292,5E,leaf,FPsc,live,3.1398001682,exp1_FPsc,0.5972035020269955,0.24772260895000003
wyo_leaf_FPsc_07_296,wyo_leaf_FPsc_07_296,exp1,296,BLANK,leaf,FPsc,"NA",2.577998776,exp1_FPsc,-0.7571733160098304,-0.31407878325
wyo_leaf_FPsc_10_399,wyo_leaf_FPsc_10_399,exp1,399,5E,leaf,FPsc,dead,2.977998776,exp1_FPsc,0.20713673152004256,0.08592121675000036
wyo_leaf_R500_10_406,wyo_leaf_R500_10_406,exp1,406,5E,leaf,R500,live,4.3161973838,exp1_R500,0.702493717382949,0.3804058605111109
wyo_leaf_R500_10_424,wyo_leaf_R500_10_424,exp1,424,BLANK,leaf,R500,"NA",3.3828640505,exp1_R500,-1.0210885691422744,-0.5529274727888888
wyo_leaf_FPsc_10_428,wyo_leaf_FPsc_10_428,exp1,428,5E,leaf,FPsc,live,3.0398001682,exp1_FPsc,0.3561259901445283,0.1477226089500004
wyo_leaf_R500_10_432,wyo_leaf_R500_10_432,exp1,432,5E,leaf,R500,dead,3.4495307172,exp1_R500,-0.8979755486102333,-0.48626080608888866
wyo_leaf_FPsc_10_435,wyo_leaf_FPsc_10_435,exp1,435,BLANK,leaf,FPsc,"NA",2.6898001682,exp1_FPsc,-0.48764530144411,-0.2022773910499997
wyo_leaf_R500_12_485,wyo_leaf_R500_12_485,exp1,485,5E,leaf,R500,live,5.2328640505,exp1_R500,2.3952977489136655,1.2970725272111114
wyo_leaf_R500_12_504,wyo_leaf_R500_12_504,exp1,504,5E,leaf,R500,dead,4.3516015604,exp1_R500,0.767874444160396,0.4158100371111111
wyo_leaf_FPsc_12_508,wyo_leaf_FPsc_12_508,exp1,508,BLANK,leaf,FPsc,"NA",2.7016015604,exp1_FPsc,-0.45919479876085895,-0.19047599884999994
