sample,genotype,trt,blk,sample_2,Phylum,Abundance,sample_3,sample_4
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Proteobacteria,0.452715641,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Firmicutes,0.231895726,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Bacteroidetes,0.162699103,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Actinobacteria,0.142353556,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Planctomycetes,0,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Verrucomicrobia,0.009182696,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Chloroflexi,4.35E-05,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Acidobacteria,0,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,Cyanobacteria,0.000761598,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk10.Db8.pot435,FPsc,No Inoculation,blk10,s_13,< 1% abundance,0.000348159,F_b10,blk10.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Proteobacteria,0.533488554,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Firmicutes,0.196448777,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Bacteroidetes,0.186178083,F_b12,blk12.FPsc
