exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
PGP Exp.,291,NA,7,2,7,1,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.968268227,RNAseq,3,wk4,NA,3.021113993,2.911275572
PGP Exp.,292,NA,7,2,8,1,FPsc,NA,Live,avg_lf_03.24_no_germ,3.139800168,RNAseq,3,wk2,NA,2.925039363,3.355387612
PGP Exp.,296,NA,7,2,8,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.577998776,RNAseq,3,wk2,NA,2.095631401,3.066166318
PGP Exp.,297,NA,7,2,9,2,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.373133502,RNAseq,3,wk4,NA,4.925039363,3.822054278
PGP Exp.,299,NA,7,2,7,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.984934894,RNAseq,3,wk4,NA,4.687780659,3.277942239
PGP Exp.,302,NA,7,2,6,4,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.046736286,RNAseq,3,wk4,NA,3.217188622,2.867163532
PGP Exp.,311,NA,8,2,3,1,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.432864051,Phys,3,wk2,NA,3.566223438,3.310278358
PGP Exp.,320,NA,8,2,4,3,R500,NA,Live,avg_lf_03.24_no_germ,4.718268227,Phys,3,wk4,NA,5.121113993,4.311275572
PGP Exp.,325,NA,8,2,4,4,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.084934894,Phys,3,wk4,NA,4.454447326,3.711275572
PGP Exp.,326,NA,8,2,3,4,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.544665443,Phys,3,wk2,NA,2.595631401,2.499499651
PGP Exp.,327,NA,8,2,2,4,FPsc,NA,Live,avg_lf_03.24_no_germ,3.261332109,Phys,3,wk2,NA,3.049556772,3.232832985
PGP Exp.,330,NA,8,2,4,5,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.361332109,Phys,3,wk2,NA,2.462298068,2.266166318
PGP Exp.,331,NA,8,2,3,5,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.344665443,Phys,3,wk2,NA,3.762298068,2.932832985
PGP Exp.,339,NA,8,2,7,2,R500,NA,Live,avg_lf_03.24_no_germ,4.568268227,Phys,3,wk2,NA,4.821113993,4.311275572
